candidate_index	canonical_source_row	polymer_entity_id	pair_id	historical_screening_index	PDB	chain	UniProt	sequence_cluster	protein_family_if_available	canonical_uniprot_length	mapped_length	mapping_coverage	identity_source_available	mapping_available	pair_qc_status	local_PDB_available	local_AFDB_available	local_PAE_available	local_pLDDT_available	fragment_metadata_available	fragment_count	single_fragment_full_coverage_possible	PDB_CA_coverage_proxy	missing_residue_proxy	global_pLDDT_proxy	low_confidence_fraction_proxy	long_range_PAE_proxy	existing_PDB_AFDB_disagreement_proxy	ligand_annotation_available	interface_annotation_available	known_sequence_mismatch_flag	known_provenance_issue	estimated_P0_readiness	estimated_P1_risk	local_data_complete	missing_local_inputs	sampling_stratum_prior	sampling_stratum_prior_source	prior_evidence_status	prior_evidence_sources	prior_observability_complete	supported_sampling_priors	round1_member
149	155	4F1V_1	4f1v_A__C3K8K1	112	4f1v	A	C3K8K1	30:12499		394	370	0.9390862944162437	true	true	pass	true	true	true	true	true	1	true	1.0	0.0	95.0	0.061	4.0	0.15717457914713395	true				likely_ready	lower_risk	true		easy_control_prior	documented_a0_primary_category_precedence_sampling_only	positive_complete	reports/a0_candidate_summary.csv:screening_index=112.0;data/raw/afdb/C3K8K1/AF-C3K8K1-F1/AF-C3K8K1-F1-model_v6.cif;data/raw/afdb/C3K8K1/AF-C3K8K1-F1/pae.json;data/raw/pdb/4f1v.cif;data/processed/pairs/4f1v_A__C3K8K1/residue_mapping.parquet	true	easy_control_prior	true
150	156	7FFX_1	7ffx_A__P05413		7ffx	A	P05413	30:228					false	false		false	false	false	false	false					96.19								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
151	157	7FXV_1	7fxv_A__P15090		7fxv	A	P15090	30:228					false	false		false	false	false	false	false					95.75								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
152	158	7KQP_1	7kqp_A__P0DTD1		7kqp	A	P0DTD1	30:44					false	false		false	true	true	true	true	1				96.08	0.01							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
153	159	7XHM_1	7xhm_A__P05413		7xhm	A	P05413	30:228					false	false		false	false	false	false	false					96.19								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
154	160	7XHU_1	7xhu_A__P05413		7xhu	A	P05413	30:228					false	false		false	false	false	false	false					96.19								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
155	161	9YGW_1	9ygw_A__Q46948	119	9ygw	A	Q46948	30:1375		196			false	false		true	false	false	false	false					97.12				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=119.0	false		false
156	162	5LP9_1	5lp9_A__A0A0H2V3I0	16	5lp9	A	A0A0H2V3I0	30:4940		182			false	false		true	false	false	false	false			0.9937888198757764	0.006211180124223614	81.94				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=16.0	false		false
157	163	1I1W_1	1i1w_A__P23360	111	1i1w	A	P23360	30:1911		329	303	0.9209726443768997	true	true	pass	true	true	true	true	true	1	true	1.0	0.0	94.81	0.08499999999999999	3.0	0.14445699024067166	true		true	pdb_amino_acid_mismatch	likely_ready	known_high_risk	true		easy_control_prior	documented_a0_primary_category_precedence_sampling_only	positive_complete	reports/a0_candidate_summary.csv:screening_index=111.0;data/raw/afdb/P23360/AF-P23360-F1/AF-P23360-F1-model_v6.cif;data/raw/afdb/P23360/AF-P23360-F1/pae.json;data/raw/pdb/1i1w.cif;data/processed/pairs/1i1w_A__P23360/residue_mapping.parquet	true	easy_control_prior	true
158	164	1YWA_1	1ywa_A__Q94734		1ywa	A	Q94734	30:2732		205			false	false		false	true	true	true	true	1	true			88.75	0.127							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
159	165	2QDV_1	2qdv_A__P22364		2qdv	A	P22364	30:5586					false	false		false	false	false	false	false					88.25								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
160	166	3IP0_1	3ip0_A__P26281	113	3ip0	A	P26281	30:2553		159	158	0.9937106918238994	true	true	pass	true	true	true	true	true	1	true	1.0	0.0	95.62	0.0	7.0	0.3713341897573388	true				likely_ready	lower_risk	true		low_confidence_local_prior	documented_a0_primary_category_precedence_sampling_only	positive_complete	reports/a0_candidate_summary.csv:screening_index=113.0;data/raw/afdb/P26281/AF-P26281-F1/AF-P26281-F1-model_v6.cif;data/raw/afdb/P26281/AF-P26281-F1/AF-P26281-F1-confidence_v6.json;data/raw/pdb/3ip0.cif;data/processed/pairs/3ip0_A__P26281/residue_mapping.parquet	true	low_confidence_local_prior	true
161	167	3UI6_1	3ui6_A__Q9Y237		3ui6	A	Q9Y237	30:13715					false	false		false	false	false	false	false					78.62								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
162	168	4O6U_1	4o6u_A__O69756		4o6u	A	O69756	30:3821					false	false		false	false	false	false	false					91.75								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
163	169	4U9H_1	4u9h_S__P21853		4u9h	S	P21853	30:1735					false	false		false	false	false	false	false					91.94								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
164	170	4UA7_1	4ua7_A__H6UQI0		4ua7	A	H6UQI0	30:99					false	false		false	false	false	false	false					94.5								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
165	171	4UYR_1	4uyr_A__P08640	12	4uyr	A	P08640	30:46244		1367			false	false		true	false	false	false	false			0.9315789473684212	0.06842105263157883	40.31				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=12.0	false		false
166	172	5HBS_1	5hbs_A__P09455		5hbs	A	P09455	30:1337					false	false		false	false	false	false	false					96.75								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
167	173	6KFN_1	6kfn_A__A0A5S8WF57	118	6kfn	A	A0A5S8WF57	30:268879		307			false	false		true	false	false	false	false					96.56				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=118.0	false		false
168	174	7APW_1	7apw_A__Q13451		7apw	A	Q13451	30:1204					false	false		false	false	false	false	false					92.5								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
169	175	7P6M_1	7p6m_A__P00698		7p6m	A	P00698	30:18		147			false	false		false	true	true	true	true	1	true			93.88	0.109							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
170	176	8JZ8_1	8jz8_A__P02883		8jz8	A	P02883	30:714					false	false		false	false	false	false	false					93.38								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
171	177	8PB5_1	8pb5_A__P0DPA9	101	8pb5	A	P0DPA9	30:5086		309	309	1.0	true	true	pass	true	true	true	true	true	1	true	1.0	0.0	89.31	0.11399999999999999	18.5	0.4842448088572228	true		true	pdb_amino_acid_mismatch	likely_ready	known_high_risk	true		state_disagreement_prior	documented_a0_primary_category_precedence_sampling_only	positive_complete	reports/a0_candidate_summary.csv:screening_index=101.0;data/raw/afdb/P0DPA9/AF-P0DPA9-F1/AF-P0DPA9-F1-model_v6.cif;data/raw/afdb/P0DPA9/AF-P0DPA9-F1/pae.json;data/raw/afdb/P0DPA9/AF-P0DPA9-F1/AF-P0DPA9-F1-confidence_v6.json;data/raw/pdb/8pb5.cif;data/processed/pairs/8pb5_A__P0DPA9/residue_mapping.parquet	true	state_disagreement_prior;high_pae_long_range_prior;low_confidence_local_prior	true
172	178	8R5K_1	8r5k_A__Q13451		8r5k	A	Q13451	30:1204					false	false		false	false	false	false	false					92.5								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
173	179	9MXN_1	9mxn_A__Q4K977		9mxn	A	Q4K977	30:3968					false	false		true	false	false	false	false					97.81				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
174	180	9PWM_1	9pwm_A__P0ABQ4	117	9pwm	A	P0ABQ4	30:869		159	159	1.0	true	true	pass	true	true	true	true	true	1	true	1.0	0.0	96.44	0.0	6.0	0.21035604352145768	true			residue_count_mismatch	likely_ready	known_high_risk	true		easy_control_prior	documented_a0_primary_category_precedence_sampling_only	positive_complete	reports/a0_candidate_summary.csv:screening_index=117.0;data/raw/afdb/P0ABQ4/AF-P0ABQ4-F1/AF-P0ABQ4-F1-model_v6.cif;data/raw/afdb/P0ABQ4/AF-P0ABQ4-F1/pae.json;data/raw/pdb/9pwm.cif;data/processed/pairs/9pwm_A__P0ABQ4/residue_mapping.parquet	true	easy_control_prior	true
175	181	9Q9D_1	9q9d_A__P19784		9q9d	A	P19784	30:453					false	false		false	false	false	false	false					94.12								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
176	182	9QDV_1	9qdv_A__A0A918GGJ7	104	9qdv	A	A0A918GGJ7	30:1899		288			false	false		true	false	false	false	false			1.0	0.0	92.38				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=104.0	false		false
177	183	4WEE_1	4wee_A__P21707	17	4wee	A	P21707	30:3258		421			false	false		true	false	false	false	false			0.9921259842519684	0.007874015748031593	81.81				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=17.0	false		false
178	184	1G66_1	1g66_A__O59893		1g66	A	O59893	30:15577					false	false		false	false	false	false	false					93.44								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
179	185	1IX9_1	1ix9_A__P00448		1ix9	A	P00448	30:2393					false	false		true	false	false	false	false					98.31				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
180	186	1IXB_1	1ixb_A__P00448		1ixb	A	P00448	30:2393					false	false		false	false	false	false	false					98.31								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
181	187	1N9B_1	1n9b_A__P30896	110	1n9b	A	P30896	30:947		286	265	0.9265734265734266	true	true	pass	true	true	true	true	true	1	true	1.0	0.0	94.81	0.073	3.5	0.38091145037809704	true				likely_ready	known_high_risk	true		state_disagreement_prior	documented_a0_primary_category_precedence_sampling_only	positive_complete	reports/a0_candidate_summary.csv:screening_index=110.0;data/raw/afdb/P30896/AF-P30896-F1/AF-P30896-F1-model_v6.cif;data/raw/pdb/1n9b.cif;data/processed/pairs/1n9b_A__P30896/residue_mapping.parquet	true	state_disagreement_prior	true
182	188	1OEW_1	1oew_A__P11838		1oew	A	P11838	30:52					false	false		false	false	false	false	false					89.19								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
183	189	1VYR_1	1vyr_A__P71278	120	1vyr	A	P71278	30:769		365			false	false		true	false	false	false	false					97.19				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=120.0	false		false
184	190	2BW4_1	2bw4_A__P25006		2bw4	A	P25006	30:786					false	false		false	false	false	false	false					92.31								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
185	191	2H5D_1	2h5d_A__P00778		2h5d	A	P00778	30:3639					false	false		false	false	false	false	false					91.06								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
186	192	2IDQ_1	2idq_A__P22364		2idq	A	P22364	30:5586					false	false		false	false	false	false	false					88.25								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
187	193	2PEV_1	2pev_A__P15121		2pev	A	P15121	30:408					false	false		false	false	false	false	false					98.31								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
188	194	2WUR_1	2wur_A__P42212		2wur	A	P42212	30:465		238			false	false		false	true	true	true	true	1	true			96.62	0.013							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
189	195	2XU3_1	2xu3_A__P07711		2xu3	A	P07711	30:471					false	false		false	false	false	false	false					93.5								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
190	196	2YL7_1	2yl7_A__P00138		2yl7	A	P00138	30:3514					false	false		false	false	false	false	false					97.56								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
191	197	3K34_1	3k34_A__P00918		3k34	A	P00918	30:36					false	false		false	false	false	false	false					97.38								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
192	198	3KS3_1	3ks3_A__P00918		3ks3	A	P00918	30:36					false	false		false	false	false	false	false					97.38								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
193	199	3VOR_1	3vor_A__Q59393		3vor	A	Q59393	30:55480					false	false		false	false	false	false	false					91.75								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
194	200	3ZSK_1	3zsk_A__P17931		3zsk	A	P17931	30:1239					false	false		false	false	false	false	false					73.81								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
195	201	3ZTM_1	3ztm_A__P00138		3ztm	A	P00138	30:3514					false	false		false	false	false	false	false					97.56								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
196	202	4CE8_1	4ce8_A__Q9HYN5		4ce8	A	Q9HYN5	30:2620					false	false		true	false	false	false	false					97.56				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
197	203	4EA9_1	4ea9_A__O85353	116	4ea9	A	O85353	30:10008		215			false	false		true	false	false	false	false					96.12				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=116.0	false		false
198	204	4GCA_1	4gca_A__P15121		4gca	A	P15121	30:408					false	false		false	false	false	false	false					98.31								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
199	205	4NSV_1	4nsv_A__Q7M135		4nsv	A	Q7M135	30:28069					false	false		true	false	false	false	false					97.94				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
200	206	5AVH_1	5avh_A__P24300		5avh	A	P24300	30:913					false	false		true	false	false	false	false					98.56				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
201	207	5B28_1	5b28_A__P05413		5b28	A	P05413	30:228					false	false		false	false	false	false	false					96.19								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
202	208	5GJI_1	5gji_A__P27986		5gji	A	P27986	30:1013					false	false		false	false	false	false	false					83.19								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
203	209	5R32_1	5r32_A__P11838		5r32	A	P11838	30:52					false	false		false	false	false	false	false					89.19								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
204	210	5RBR_1	5rbr_A__P11838		5rbr	A	P11838	30:52					false	false		false	false	false	false	false					89.19								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
205	211	5X9L_1	5x9l_A__P02883		5x9l	A	P02883	30:714					false	false		false	false	false	false	false					93.38								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
206	212	5Y2S_1	5y2s_A__P00918		5y2s	A	P00918	30:36					false	false		true	false	false	false	false					97.38				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
207	213	6B00_1	6b00_A__P00918		6b00	A	P00918	30:36					false	false		false	false	false	false	false					97.38								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
208	214	6FMC_1	6fmc_A__O14786	18	6fmc	A	O14786	30:10714		923			false	false		true	false	false	false	false			1.0	0.0	79.12				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=18.0	false		false
209	215	6KKZ_1	6kkz_A__P42212		6kkz	A	P42212	30:925		238			false	false		false	true	true	true	true	1	true			96.62	0.013							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
210	216	6KLZ_1	6klz_A__P00918		6klz	A	P00918	30:36					false	false		false	false	false	false	false					97.38								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
211	217	6KM2_1	6km2_A__P00918		6km2	A	P00918	30:36					false	false		false	false	false	false	false					97.38								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
212	218	6UMZ_1	6umz_A__P16113		6umz	A	P16113	30:1944		125			false	false		false	true	true	true	true	1	true			95.81	0.016							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
213	219	7LTD_1	7ltd_A__P06873		7ltd	A	P06873	30:901					false	false		false	false	false	false	false					92.44								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
